_id,company,agent_id,bus_brand,operator_id,from_city_id,from_station_id,to_city_id,to_station_id,scheduled_departure,actual_departure,arrival_time,counter,overall,safety,comfort,comment,last_updated
67,"KPB Ekspres",12,"Cepat Sedia",4,3,7,2,9,"2012-05-11 18:30","2012-05-11 19:11","2012-05-12 00:23",1/2,2,3,2,"bus broke down","2013-01-11 15:36"
66,"Super Nice",18,"Super Nice",15,2,2,3,7,"2012-05-07 10:30","2012-05-07 11:05","2012-05-07 16:13",51,3,3,3,"","2013-01-11 15:36"
65,"Super Nice",18,"Super Nice",15,2,2,1,12,"2012-05-07 10:30","2012-05-07 11:05","2012-05-07 13:48",51,3,3,3,"","2013-01-11 15:36"
64,"Super Nice",18,"Super Nice",15,2,6,3,7,"2012-05-07 10:00","2012-05-07 10:19","2012-05-07 16:13",51,3,3,3,"","2013-01-11 15:36"
63,"Super Nice",18,"Super Nice",15,2,6,1,12,"2012-05-07 10:00","2012-05-07 10:19","2012-05-07 13:48",51,3,3,3,"","2013-01-11 15:36"
62,Plusliner,15,Plusliner,11,3,7,2,3,"2012-05-05 13:00","2012-05-05 13:03","2012-05-05 16:48",9,4,4,5,"","2013-01-11 15:36"
61,Plusliner,15,Plusliner,11,2,3,3,7,"2012-05-01 16:00","2012-05-01 16:05","2012-05-01 20:47","",4,5,2,"","2013-01-11 15:36"
60,Plusliner,15,Plusliner,11,4,5,3,7,"2012-05-01 15:15","2012-05-01 15:15","2012-05-01 20:47","",4,5,2,"","2013-01-11 15:36"
59,"KPB Ekspres",12,Seasons,12,3,7,2,6,"2012-04-27 18:30","2012-04-27 18:54","2012-04-27 23:49",1/2,3,3,2,"","2013-01-11 15:36"
58,"KPB Ekspres",12,Seasons,12,3,7,2,2,"2012-04-27 18:30","2012-04-27 18:54","2012-04-27 23:32",1/2,3,3,2,"","2013-01-11 15:36"
57,"KPB Ekspres",12,"",17,1,12,3,7,"2012-04-23 00:00","2012-04-23 00:06","2012-04-23 02:28",10,3,5,3,"","2013-01-11 15:36"
56,"KPB Ekspres",12,"",17,2,2,3,7,"2012-04-22 21:30","2012-04-22 21:32","2012-04-23 02:28",10,3,5,3,"","2013-01-11 15:36"
55,"KPB Ekspres",12,"",17,2,2,5,51,"2012-04-22 21:30","2012-04-22 21:32","2012-04-23 01:19",10,3,5,3,"","2013-01-11 15:36"
54,"KPB Ekspres",12,"",17,2,2,1,12,"2012-04-22 21:30","2012-04-22 21:32","2012-04-22 23:52",10,3,5,3,"","2013-01-11 15:36"
53,"KPB Ekspres",12,"",17,2,6,3,7,"2012-04-22 21:00","2012-04-22 21:03","2012-04-23 02:28",10,3,5,3,"","2013-01-11 15:36"
52,"KPB Ekspres",12,"",17,2,6,5,51,"2012-04-22 21:00","2012-04-22 21:03","2012-04-23 01:19",10,3,5,3,"","2013-01-11 15:36"
51,"KPB Ekspres",12,"",17,2,6,1,12,"2012-04-22 21:00","2012-04-22 21:03","2012-04-22 23:52",10,3,5,3,"","2013-01-11 15:36"
50,Starmart,16,"707 Super Nice",1,3,7,2,6,"2012-04-20 18:30","2012-04-20 19:15","2012-04-21 00:01",16/17,2,2,4,"","2013-01-11 15:36"
49,Starmart,16,"707 Super Nice",1,3,7,2,2,"2012-04-20 18:30","2012-04-20 19:15","2012-04-20 23:51",16/17,2,2,4,"","2013-01-11 15:36"
48,Starmart,16,"707 Super Nice",1,3,7,6,"","2012-04-20 18:30","2012-04-20 19:15","2012-04-20 23:35",16/17,2,2,4,"","2013-01-11 15:36"
47,"Eagle Ekspres",4,Seasons,12,2,2,3,7,"2012-04-15 21:30","2012-04-15 21:40","2012-04-16 02:07",6,"","","","","2013-01-11 15:36"
46,"Eagle Ekspres",4,Seasons,12,2,2,7,19,"2012-04-15 21:30","2012-04-15 21:40","2012-04-16 01:45",6,"","","","","2013-01-11 15:36"
45,"Eagle Ekspres",4,Seasons,12,2,6,3,7,"2012-04-15 21:00","2012-04-15 21:14","2012-04-16 02:07",6,"","","","","2013-01-11 15:36"
44,"Eagle Ekspres",4,Seasons,12,2,6,7,19,"2012-04-15 21:00","2012-04-15 21:14","2012-04-16 01:45",6,"","","","","2013-01-11 15:36"
43,"Sykt Pengangkutan Hamid Yacob S/B",19,Eagle,5,3,7,2,6,"2012-04-13 19:00","2012-04-13 19:40","2012-04-14 00:30",34,1,"","","","2013-01-11 15:36"
42,"Sykt Pengangkutan Hamid Yacob S/B",19,Eagle,5,3,7,2,2,"2012-04-13 19:00","2012-04-13 19:40","2012-04-14 00:16",34,1,"","","","2013-01-11 15:36"
41,"Sykt Pengangkutan Hamid Yacob S/B",19,Eagle,5,3,7,6,"","2012-04-13 19:00","2012-04-13 19:40","2012-04-14 00:00",34,1,"","","","2013-01-11 15:36"
39,Kesatuan,9,Seasons,12,2,2,3,7,"2012-03-25 21:30","2012-03-25 21:49","2012-03-26 01:46",29,"","","","","2013-01-11 15:36"
38,Kesatuan,9,Seasons,12,2,2,7,19,"2012-03-25 21:30","2012-03-25 21:49","2012-03-26 01:29",29,"","","","","2013-01-11 15:36"
37,Kesatuan,9,Seasons,12,2,6,3,7,"2012-03-25 21:00","2012-03-25 21:23","2012-03-26 01:46",29,"","","","","2013-01-11 15:36"
36,Kesatuan,9,Seasons,12,2,6,7,19,"2012-03-25 21:00","2012-03-25 21:23","2012-03-26 01:29",29,"","","","","2013-01-11 15:36"
35,"United Travel",21,Seasons,12,3,7,2,6,"2012-03-23 18:30","2012-03-23 18:45","2012-03-23 23:43",40,"","","","","2013-01-11 15:36"
34,"United Travel",21,Seasons,12,3,7,2,2,"2012-03-23 18:30","2012-03-23 18:45","2012-03-23 23:33",40,"","","","","2013-01-11 15:36"
33,"Lion Star",13,"Lion Star",9,2,6,3,7,"2012-03-18 20:30","2012-03-18 20:49","2012-03-19 00:36",45,"","","","","2013-01-11 15:36"
32,"Ekspres Senibudaya",5,Eagle,5,3,7,2,6,"2012-03-16 19:30","2012-03-16 21:40","2012-03-17 01:26",35,"","","","","2013-01-11 15:36"
31,Plusliner,15,Plusliner,11,2,3,3,7,"2012-01-19 13:00","2012-01-19 13:13","2012-01-19 17:58","","","","","","2013-01-11 15:36"
30,Plusliner,15,Plusliner,11,4,5,3,7,"2012-01-19 12:15","2012-01-19 12:18","2012-01-19 17:58","","","","","","2013-01-11 15:36"
29,Plusliner,15,Plusliner,11,2,3,3,7,"2012-01-16 00:00","2012-01-16 00:00","2012-01-16 04:01","","","","","","2013-01-11 15:36"
28,Plusliner,15,Plusliner,11,4,5,3,7,"2012-01-15 23:15","2012-01-15 23:09","2012-01-16 04:01","","","","","","2013-01-11 15:36"
27,"Alisan Express",3,Seasons,12,3,7,2,6,"2012-01-13 18:30","2012-01-13 18:42","2012-01-13 23:27","","","","","","2013-01-11 15:36"
25,"Alisan Express",3,"Lion Star",9,2,6,3,7,"2012-01-08 23:59","2012-01-09 00:27","2012-01-09 04:37","",1,"","","lied, said bus stopped at Komtar but it stopped at Sg Nibong instead","2013-01-11 15:36"
24,KKKL,10,Eagle,5,3,7,2,2,"2012-01-06 20:30","2012-01-06 20:42","2012-01-07 01:01","",1,"","","lied, it was easy to find bus from Puduraya to Komtar","2013-01-11 15:36"
23,KKKL,10,Eagle,5,3,7,2,6,"2012-01-06 20:30","2012-01-06 20:42","2012-01-07 01:12","",1,"","","lied, it was easy to find bus from Puduraya to Komtar","2013-01-11 15:36"
22,KKKL,10,Eagle,5,3,4,2,2,"2012-01-06 19:45","2012-01-06 19:47","2012-01-07 01:01","",1,"","","lied, it was easy to find bus from Puduraya to Komtar","2013-01-11 15:36"
21,KKKL,10,Eagle,5,3,4,2,6,"2012-01-06 19:45","2012-01-06 19:47","2012-01-07 01:12","",1,"","","lied, said it was easy to find bus from Puduraya to Komtar","2013-01-11 15:36"
20,"Konsortium Bas Ekspres",11,"",17,2,6,3,7,"2011-12-31 15:45","2011-12-31 17:10","2011-12-31 22:40","","","","","","2013-01-11 15:36"
19,"",22,Seasons,12,2,6,3,7,"2011-12-26 18:30","2011-12-26 18:44","2011-12-27 00:07","","","","","","2013-01-11 15:36"
18,Plusliner,15,Plusliner,11,3,7,2,3,"2011-12-09 23:59","2011-12-10 00:10","2011-12-10 05:00",9,"","","","","2013-01-11 15:36"
17,Plusliner,15,Plusliner,11,3,7,4,5,"2011-12-09 23:59","2011-12-10 00:10","2011-12-10 05:30",9,"","","","","2013-01-11 15:36"
16,Plusliner,15,Plusliner,11,4,5,3,7,"2011-12-08 23:15","2011-12-08 23:15","2011-12-09 04:15","","","","","","2013-01-11 15:36"
15,Plusliner,15,Plusliner,11,3,7,2,3,"2011-12-04 23:59","2011-12-05 00:04","2011-12-05 04:20",9,"","","","","2013-01-11 15:36"
